cannon_1,cannon_2,archer_1,archer_2,army_1,army_2,goldstorage_1,goldstorage_2,elixerstorage_1,elixerstorage_2,barracks_1,barracks_2,barracks_3,mortar_1,builder_1,gold_1,gold_2,gold_3,gold_4,elixer_1,elixer_2,elixerstorage_3,elixer_3,townhall_1,research_1,castle_1,total
0,0,0.962,1.0,0,0.84,1.0,1.0,1.0,1.0,1.0,0,0,0.7625,0,0.35081967213114756,0,0,0,0,0,0.042666666666666665,0,1.0,0,0,0.4825679012345679
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
1.0,0,1.0,0,0,0,1.0,1.0,1.0,1.0,0,0,1.0,0.24,1.0,0.29180327868852457,0,0.9737704918032787,0,0,0,1.0,0,1.0,0,0,0.40355555555555556
0,0,0,1.0,0,0,0.3426666666666667,1.0,0,1.0,0,0,0.535483870967742,1.0,0,1.0,0,1.0,0,0,0,0.5706666666666667,0,1.0,0,0,0.567604938271605
1.0,0,1.0,0,0,0,1.0,0.7333333333333333,1.0,1.0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0.5525925925925926
0.8727272727272727,0,1.0,0,0,0,1.0,0,1.0,0,1.0,0,0,0,0,1.0,0,0,0,0,0,0,0,1.0,0,0,0.654320987654321
1.0,0,1.0,0,0.8933333333333333,0.92,1.0,0,1.0,0,0.9483870967741935,0.6774193548387096,0,0,0,0,0,0,0,0.8819672131147541,0,0,0,0.9847619047619047,0,0,0.5926913580246913
1.0,0,1.0,0,0,0,1.0,1.0,1.0,1.0,0,0.3096774193548387,0,0.7625,0,0,0,0,0,0,0,0,0,1.0,0,0,0.5283456790123456
0,0,0,1.0,0,0,1.0,1.0,0.872,1.0,0,0,0,1.0,0,0,0,0,0,0,0,0.62,0,1.0,0,0.472,0.49580246913580245
1.0,0,1.0,0.582,0.24333333333333335,0.2,1.0,1.0,1.0,1.0,1.0,0,1.0,0,0,0.9180327868852459,0,0.29508196721311475,0,0,0,0.31333333333333335,0,1.0,0,0,0.4302716049382716
0,0,0,1.0,0,0,1.0,1.0,1.0,1.0,0.27741935483870966,0,0,1.0,0,0,0,0,0,0,0,0.8826666666666667,0,1.0,0,0.242,0.4739753086419753
