barbarian_0_x,barbarian_0_y,barbarian_1_x,barbarian_1_y,barbarian_2_x,barbarian_2_y,barbarian_3_x,barbarian_3_y,barbarian_4_x,barbarian_4_y,barbarian_5_x,barbarian_5_y,barbarian_6_x,barbarian_6_y,barbarian_7_x,barbarian_7_y,barbarian_8_x,barbarian_8_y,barbarian_9_x,barbarian_9_y,barbarian_10_x,barbarian_10_y,barbarian_11_x,barbarian_11_y,barbarian_12_x,barbarian_12_y,archer_0_x,archer_0_y,archer_1_x,archer_1_y,archer_2_x,archer_2_y,archer_3_x,archer_3_y,archer_4_x,archer_4_y,archer_5_x,archer_5_y,archer_6_x,archer_6_y,archer_7_x,archer_7_y,archer_8_x,archer_8_y,archer_9_x,archer_9_y,archer_10_x,archer_10_y,archer_11_x,archer_11_y,archer_12_x,archer_12_y,giant_0_x,giant_0_y,giant_1_x,giant_1_y,giant_2_x,giant_2_y,giant_3_x,giant_3_y,giant_4_x,giant_4_y,giant_5_x,giant_5_y,giant_6_x,giant_6_y,giant_7_x,giant_7_y,giant_8_x,giant_8_y,giant_9_x,giant_9_y
33,-19,42,33,47,7,-11,23,24,39,37,-10,20,30,41,-16,-8,31,-14,37,-11,2,29,-9,34,42,44,-4,-17,29,34,6,31,39,44,-3,28,40,-11,43,-11,-14,8,38,47,44,7,-5,25,38,32,-9,38,30,-9,-16,19,35,36,-18,-13,18,46,-7,-8,4,-13,12,35,-16,43,31
34,18,15,47,-20,9,-3,14,-1,-6,2,-14,17,29,44,-18,47,26,36,40,-17,23,12,44,36,-11,18,-13,13,-17,42,-8,-8,30,-6,-17,6,36,-14,9,32,-15,12,-12,42,33,26,-20,15,-17,-14,18,17,46,-7,-20,31,-9,-10,11,6,36,46,-16,-4,32,-15,31,-20,9,20,-12
11,41,-17,2,23,-19,43,-5,41,43,39,-6,30,14,-2,-12,42,16,26,32,-2,40,27,-3,30,35,37,41,-20,-16,45,-6,11,-4,6,-15,-20,-11,33,-19,-11,33,-12,-13,46,-18,42,38,43,15,45,45,39,38,7,-14,29,20,37,30,-16,26,42,32,47,9,34,46,34,-6,33,35
-19,15,27,-17,-14,-12,37,30,43,28,-6,42,-5,39,39,26,46,-5,18,-5,34,9,34,-20,37,38,-5,-7,10,-10,17,29,7,45,8,42,32,47,37,-3,29,40,42,31,-20,45,6,36,43,23,30,-7,-20,-11,17,-18,-8,-11,47,-10,33,-2,35,2,26,-13,-7,21,-16,15,23,-20
-13,-20,-4,-13,-7,13,4,-7,24,-8,43,28,33,14,45,36,-4,-7,-19,22,-5,14,-16,-13,-20,-8,40,-3,34,-5,44,45,-7,37,-19,10,-10,4,40,36,-13,23,-15,-9,-8,9,37,46,-2,33,40,36,-15,7,41,44,-4,-19,47,38,-12,31,14,29,8,42,-2,-7,-20,35,41,26
47,31,-13,35,42,-9,11,-5,23,34,40,33,-4,-8,-20,-19,37,39,20,45,-9,33,8,45,-10,-15,11,-9,27,-6,47,36,34,14,33,42,-11,25,-15,26,44,-16,-14,36,38,-6,-14,38,-3,43,-13,22,-2,40,12,-19,47,33,42,44,-13,2,-8,31,-15,39,-20,2,18,-16,-20,-19
-7,35,5,29,33,45,39,-16,43,20,-2,26,30,41,-4,-2,32,-9,33,43,-17,33,30,41,10,30,-2,-10,44,-4,-7,12,-17,-11,-6,28,-2,29,46,42,31,42,-13,5,9,31,44,41,29,-16,-20,15,-2,36,-11,-19,11,45,-7,26,22,30,9,46,-18,16,35,29,34,42,46,30
40,-13,-2,-3,29,31,-10,42,41,28,-8,16,-6,33,32,19,28,-6,-16,-18,-14,11,2,-8,7,29,-8,-17,34,25,33,0,-13,35,-9,8,-7,10,42,2,1,41,-13,-20,-5,22,12,-19,43,5,37,-14,-17,23,-6,4,-16,-1,21,42,-20,4,47,-11,-18,-4,-6,10,45,32,21,-4
40,-5,36,-1,47,-15,-20,26,43,7,41,14,-12,43,-18,-3,31,21,34,-15,7,-13,-10,-8,33,-17,43,14,35,36,45,-20,-18,4,28,37,-10,43,-17,23,-12,-13,-9,-12,-9,31,-6,24,32,14,-3,10,36,27,44,31,46,-3,-4,11,29,-19,-4,44,-11,-8,-16,22,41,29,28,-9
-4,36,38,23,34,-5,-2,18,33,29,-15,30,-14,39,36,9,39,-2,-16,-5,-10,44,3,-2,40,27,38,-17,25,-11,-7,7,47,-9,43,-11,26,-20,36,35,-15,-13,30,14,44,15,-3,37,-15,2,-9,30,26,-16,30,42,30,25,16,-12,43,35,0,47,44,-9,35,41,-18,24,-5,33
