cannon_1,cannon_2,archer_1,archer_2,goldstorage_1,goldstorage_2,elixerstorage_1,elixerstorage_2,mortar_1,gold_1,gold_2,gold_3,gold_4,elixer_1,elixer_2,elixer_3,elixer_4,barracks_1,barracks_2,barracks_3,townhall_1,research_1,army_1,army_2,builder_1,builder_2,builder_3,builder_4,builder_5,castle_1,total
1.0,1.0,1.0,1.0,1.0,0,1.0,0.22266666666666668,1.0,0,1.0,0.7575757575757576,1.0,1.0,1.0,1.0,1.0,1.0,0,0,1.0,0.9127272727272727,1.0,1.0,0.784,0,0,0,1.0,0,0.29432395016151364
1.0,1.0,1.0,1.0,0.648,0,0.7493333333333333,0.9893333333333333,1.0,0,1.0,0.6242424242424243,1.0,1.0,0,0,1.0,0,0.8875,0.66875,1.0,0,1.0,1.0,0,0,0,0,0,0,0.3834794646977388
1.0,1.0,1.0,1.0,1.0,0,1.0,0.9893333333333333,1.0,0.6090909090909091,1.0,1.0,1.0,1.0,0,0.9757575757575757,1.0,0,0.775,0.85,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0.2556529764651592
1.0,1.0,1.0,1.0,1.0,0,1.0,0.9146666666666666,1.0,0.14545454545454545,1.0,1.0,1.0,1.0,0.5878787878787879,1.0,1.0,0,1.0,1.0,1.0,0.8363636363636363,0.8628571428571429,1.0,0,0,0,0,0,0,0.2593447161975081
1.0,1.0,1.0,1.0,1.0,0,1.0,0.636,1.0,0.9757575757575757,1.0,1.0,1.0,1.0,0,0.4666666666666667,1.0,0,0,0,1.0,0,1.0,1.0,0,0,0,0,0,0,0.3338255652976465
1.0,1.0,1.0,1.0,1.0,0,0.952,0.8333333333333334,1.0,0.09696969696969697,1.0,1.0,1.0,1.0,0.3424242424242424,1.0,1.0,0,1.0,0,1.0,0,1.0,1.0,0,0,0,0,0,0,0.30881402861098295
1.0,1.0,1.0,1.0,0,0,0.9653333333333334,0.9573333333333334,1.0,0,1.0,1.0,1.0,1.0,0.8272727272727273,1.0,1.0,0,0,1.0,1.0,0.8690909090909091,1.0,0.7942857142857143,0,0,0,0,0,0,0.34130133825565295
1.0,1.0,1.0,1.0,0,0,0.9893333333333333,0.9453333333333334,1.0,0.41515151515151516,1.0,0.9272727272727272,1.0,1.0,0.9727272727272728,0.9757575757575757,1.0,0,0.65,0,1.0,0,1.0,1.0,0,0,0,0,0,0,0.346931241347485
1.0,1.0,1.0,1.0,0,0,0.9893333333333333,0.9893333333333333,1.0,0.7818181818181819,1.0,0.6727272727272727,1.0,1.0,0.8212121212121212,0.8909090909090909,1.0,0,1.0,0,1.0,0,0.7657142857142857,1.0,0,0,0,0,0,0,0.35006922011998154
1.0,1.0,1.0,1.0,0.84,0,1.0,0.732,1.0,0.21212121212121213,1.0,1.0,1.0,1.0,0.6575757575757576,1.0,1.0,0,0.15625,0.19375,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0.2946931241347485
1.0,1.0,1.0,1.0,1.0,0,0.968,0.604,1.0,0.7575757575757576,1.0,1.0,1.0,1.0,0.8666666666666667,1.0,1.0,0,0,1.0,1.0,0.8254545454545454,1.0,1.0,0,0,0,0,0,0,0.26654360867558835
1.0,1.0,1.0,1.0,0.8186666666666667,0,1.0,0.45466666666666666,1.0,0.7515151515151515,1.0,1.0,1.0,1.0,0.8939393939393939,1.0,1.0,0,0.55,0.83125,1.0,0,1.0,1.0,0,0,0,0,0,0,0.3018920166128288
1.0,1.0,1.0,1.0,0.94,0,1.0,0.26266666666666666,1.0,0.22727272727272727,1.0,1.0,1.0,1.0,0.9757575757575757,1.0,1.0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0.2857406552838025
1.0,1.0,1.0,1.0,0,0,0.9893333333333333,0.7866666666666666,1.0,0.9515151515151515,1.0,1.0,1.0,1.0,0,0.8545454545454545,1.0,0,0.2125,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0.3389940009229349
1.0,1.0,1.0,1.0,1.0,0,0.904,0.8506666666666667,1.0,0.47878787878787876,1.0,0.806060606060606,1.0,1.0,1.0,1.0,1.0,0,1.0,0.325,1.0,0,1.0,1.0,1.0,0,0,0,0,0,0.2688509460083064
1.0,1.0,1.0,1.0,1.0,0,1.0,0.5946666666666667,1.0,0,1.0,0,1.0,1.0,0,0.9272727272727272,1.0,0,1.0,0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0.3426857406552838
1.0,1.0,1.0,1.0,1.0,0,1.0,0.288,1.0,0,1.0,0.9757575757575757,1.0,1.0,0.2636363636363636,1.0,1.0,0,0.66875,0.94375,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0.31490539916935856
1.0,1.0,1.0,1.0,0.904,0,1.0,0.836,1.0,0.7787878787878788,1.0,1.0,1.0,1.0,0,0.8727272727272727,1.0,0,1.0,1.0,1.0,0.44363636363636366,1.0,1.0,0,0,0,0,0,0,0.2794646977388094
1.0,1.0,1.0,1.0,0,0,0.968,0.616,1.0,1.0,1.0,0.9757575757575757,1.0,1.0,0.6545454545454545,1.0,1.0,0,1.0,0.075,1.0,0.24727272727272728,1.0,1.0,0,0.784,0.568,0,0,0,0.33271804337794186
1.0,1.0,1.0,1.0,1.0,0,0.796,0.9893333333333333,1.0,0,1.0,0.7818181818181819,1.0,1.0,1.0,1.0,1.0,0.6625,0.44375,0,1.0,0,1.0,1.0,0,0,0,0,0,0,0.2968158744808491
1.0,1.0,1.0,1.0,0,0,0.7373333333333333,0.9786666666666667,1.0,0.18787878787878787,1.0,1.0,1.0,1.0,0,0.796969696969697,1.0,0,1.0,0.7,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0.3609598523304107
1.0,1.0,1.0,1.0,1.0,0,0.7653333333333333,0.968,1.0,0,1.0,0.5878787878787879,1.0,1.0,0.9757575757575757,1.0,1.0,0,0.775,0.08125,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0.2853714813105676
1.0,1.0,1.0,1.0,0,0,0.9893333333333333,0.7653333333333333,1.0,0.806060606060606,1.0,0.9727272727272728,1.0,1.0,1.0,1.0,1.0,0,1.0,0,1.0,0,1.0,1.0,0,0,0,0,0,0,0.3393631748961698
1.0,1.0,1.0,1.0,1.0,0,1.0,0.8293333333333334,1.0,0.5,1.0,1.0,1.0,1.0,0,1.0,1.0,0,0.9,0,1.0,0.18181818181818182,1.0,1.0,0,0,0,0,0,0,0.3007844946931241
1.0,1.0,1.0,1.0,1.0,0,1.0,0.8293333333333334,1.0,0.8545454545454545,1.0,1.0,1.0,1.0,0.5575757575757576,0.8909090909090909,1.0,0,0,0,1.0,0.64,1.0,0.8857142857142857,0,0,0,0,0,0,0.28167974157821873
1.0,1.0,1.0,1.0,1.0,0,1.0,0.8293333333333334,1.0,0.012121212121212121,1.0,1.0,1.0,1.0,0.9272727272727272,1.0,1.0,0,0.56875,0.15,1.0,0,1.0,1.0,0,0,0,0,0,0,0.2946931241347485
