cannon_1, cannon_2, archer_1, archer_2, army_1, army_2, goldstorage_1, goldstorage_2, elixerstorage_1, elixerstorage_2, barracks_1, barracks_2, barracks_3, mortar_1, builder_1, gold_1, gold_2, gold_3, gold_4, elixer_1, elixer_2, elixerstorage_3, elixer_3, townhall_1, research_1, castle_1
0, 0, 0, 1.0, 0, 0, 1.0, 1.0, 0, 1.0, 0, 0, 0.9483870967741935, 1.0, 0, 0, 0, 0, 0, 0, 0, 0.892, 0, 1.0, 0, 0
0, 0, 0, 1.0, 0.64, 0, 1.0, 1.0, 1.0, 1.0, 0.9419354838709677, 0, 0, 1.0, 0, 0.7049180327868853, 0, 0, 0, 0.029508196721311476, 0, 0.4666666666666667, 0, 1.0, 0, 0
0, 0, 0, 1.0, 0, 0, 1.0, 1.0, 0, 1.0, 0, 0, 0, 1.0, 0, 0, 0, 0, 0, 0, 0, 0.7893333333333333, 0, 1.0, 0, 0
1.0, 0, 1.0, 0, 0.8866666666666667, 0.89, 1.0, 1.0, 1.0, 1.0, 1.0, 0, 1.0, 0, 0.504, 1.0, 0, 0, 0, 0.4721311475409836, 0, 0.9253333333333333, 0, 1.0, 0, 0.92
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1.0, 0, 1.0, 1.0, 0, 0, 1.0, 1.0, 1.0, 1.0, 0, 0.2967741935483871, 0, 1.0, 0, 0.7901639344262295, 0, 0, 0, 0, 0, 0.3373333333333333, 0, 1.0, 0, 0
1.0, 0, 1.0, 0, 0.38, 0.94, 1.0, 0, 1.0, 0, 0.24516129032258063, 0, 0, 0, 0, 0.08196721311475409, 0, 0, 0, 1.0, 0, 0, 0, 1.0, 0, 0
0.8836363636363637, 0, 1.0, 0, 0, 0, 1.0, 0, 1.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.0, 0, 0
0, 0, 0, 1.0, 0, 0, 0.424, 1.0, 0, 1.0, 0, 0, 0.5806451612903226, 1.0, 0, 1.0, 0, 0, 0, 0, 0, 0.68, 0, 1.0, 0, 0
0, 0, 0, 1.0, 0, 0, 1.0, 1.0, 0, 1.0, 0, 0, 0, 1.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.0, 0, 0
