cannon_1,cannon_2,archer_1,archer_2,goldstorage_1,goldstorage_2,elixerstorage_1,elixerstorage_2,mortar_1,gold_1,gold_2,gold_3,gold_4,elixer_1,elixer_2,elixer_3,elixer_4,barracks_1,barracks_2,barracks_3,townhall_1,research_1,army_1,army_2,builder_1,builder_2,castle_1,total
1.0,1.0,0,0,0,1.0,0,1.0,1.0,0,0,0,0,0,0,0,0,0,0.896774193548387,1.0,1.0,0,0,0,0,0,0.188,0.6319214876033058
1.0,0.7236363636363636,0.772,0,0,1.0,0.48533333333333334,0.8826666666666667,0,1.0,0,0,0,0,0,0,0,1.0,0,0,1.0,0,0,0.9733333333333334,0,0,1.0,0.5227272727272727
1.0,1.0,0.772,0,0,1.0,0.776,1.0,1.0,0,0,0,0,0,0,0,0,1.0,0,0,1.0,0,0,0.33666666666666667,0,0,1.0,0.5138429752066116
1.0,1.0,1.0,0,0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0.92,0,0,0.638,0.5072314049586777
1.0,1.0,0.81,0,0,1.0,0.32133333333333336,1.0,1.0,1.0,0,0,0,0,0,0,0,1.0,0,0,1.0,0,0,0.8666666666666667,0,0,1.0,0.500154958677686
1.0,1.0,0,1.0,1.0,1.0,0,1.0,1.0,0,0,0,0,0.09508196721311475,0,0,0,0,0,0,1.0,0,0,0.5466666666666666,0,0,0.442,0.5259297520661157
1.0,1.0,1.0,0,0,1.0,1.0,1.0,1.0,0.8163934426229508,0,0,0,0,0,0,0,0.07096774193548387,0,0,1.0,0,0,0,0,0,0.984,0.49101239669421487
1.0,1.0,0,1.0,1.0,1.0,0,1.0,1.0,0,0,0,0,0,0,0,0,0.5870967741935483,0,0.6387096774193548,1.0,0,0.59,0.1,0,0,1.0,0.47603305785123967
1.0,1.0,0.848,0,0,1.0,0.516,1.0,1.0,0,0,0,0,0,0,0,0,1.0,0,0,1.0,0,0,0.9733333333333334,0,0,1.0,0.512293388429752
1.0,1.0,0.582,0,0,1.0,0.9573333333333334,1.0,1.0,1.0,0,0,0,0,0,0,0,1.0,0,0,1.0,0,0,0.17333333333333334,0,0,0.676,0.4949896694214876
1.0,1.0,0.582,0,0,1.0,0.5706666666666667,1.0,1.0,0,0,0,0,0,0,0,0,1.0,0,0,1.0,0,0,0,0,0,0.784,0.55625
1.0,0,1.0,0.772,1.0,1.0,1.0,0.6706666666666666,0.81,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0.454,0.5056818181818182
