cannon_1,cannon_2,archer_1,archer_2,goldstorage_1,goldstorage_2,elixerstorage_1,elixerstorage_2,mortar_1,gold_1,gold_2,gold_3,gold_4,elixer_1,elixer_2,elixer_3,elixer_4,barracks_1,barracks_2,barracks_3,townhall_1,research_1,army_1,army_2,builder_1,builder_2,castle_1,total
1.0,0,1.0,1.0,1.0,1.0,1.0,0.7213333333333334,0.905,0.9475409836065574,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0.4875
1.0,1.0,1.0,0,0,1.0,1.0,1.0,1.0,0.08196721311475409,0,0,0,0,0,0,0,0.7677419354838709,0,0,0.8735135135135135,0,0,0,0,0,1.0,0.5142561983471075
1.0,1.0,0,0,0,1.0,0,1.0,1.0,0,0,0,0,0,0,0,0,0.7419354838709677,0,0,1.0,0,0,0.92,0,0,0.91,0.5846074380165289
1.0,1.0,0,1.0,1.0,1.0,0,1.0,1.0,0,0,0,0,0.10819672131147541,0,0,0,0.07096774193548387,0,0,1.0,0,0,1.0,0,0,0.872,0.4881198347107438
1.0,1.0,0.278,0,0,1.0,0,1.0,1.0,0.23934426229508196,0,0,0,0,0,0,0,1.0,0,0,1.0,0,0,0.8666666666666667,0,0,0.964,0.5646177685950413
1.0,0.4127272727272727,0,1.0,1.0,1.0,0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,1.0,0,0,0.66,0.5202995867768595
1.0,1.0,1.0,0,0,1.0,1.0,1.0,1.0,0.6327868852459017,0,0,0,0,0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0.450103305785124
1.0,1.0,1.0,0,0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0.38666666666666666,0,0,0.888,0.53150826446281
1.0,1.0,1.0,0,0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,1.0,0,0,0.72,0.5005165289256198
1.0,1.0,0,0,0,1.0,0,1.0,0.1175,0,0,0,0,0,0,0,0,0.17419354838709677,0,0,1.0,0,0,0.94,0,0,1.0,0.6066632231404959
1.0,0.9654545454545455,1.0,0,0,1.0,1.0,0.236,0,1.0,0.659016393442623,0,0,0,0,0,0,1.0,0,0,1.0,0,0,0.4,0,0,0.982,0.5181301652892562
1.0,1.0,1.0,0,0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,1.0,0.22666666666666666,0,0,0.586,0.5004132231404959
1.0,1.0,1.0,0,0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0.8133333333333334,0,0,0.544,0.515392561983471
1.0,1.0,1.0,0,0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0.9483870967741935,0,0,1.0,0,0,0,0,0,1.0,0.5018595041322315
1.0,0.4254545454545455,0,0,0.016,1.0,0,1.0,1.0,0,0,0,0,0,0,0,0,0.6064516129032258,0.01935483870967742,0,1.0,0,0,1.0,0,0,1.0,0.5944214876033058
1.0,0.7927272727272727,1.0,0,0,1.0,1.0,0.8933333333333333,0,0.659016393442623,0,0,0,0,0,0,0,1.0,0,0,1.0,0,0,0.43,0,0,1.0,0.5017561983471074
1.0,1.0,0,0,0,1.0,0,1.0,1.0,0,0,0,0,0,0,0,0,1.0,0,0,1.0,0,0,0.92,0,0,1.0,0.5758264462809918
0.5509090909090909,0,1.0,1.0,1.0,1.0,1.0,0.17733333333333334,0,1.0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0.9733333333333334,0,0,0.154,0.5213326446280991
1.0,0,1.0,1.0,1.0,1.0,1.0,0.5306666666666666,0.715,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0.7866666666666666,0,0,0.952,0.4625
1.0,0.9018181818181819,0,0,0,1.0,0,1.0,1.0,0,0,0,0,0,0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,0.856,0.5835743801652893
1.0,1.0,1.0,1.0,0.68,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0.584,0.4600206611570248
1.0,1.0,0,1.0,1.0,1.0,0,1.0,0.905,0,0,0,0,0.4065573770491803,0,0,0,0,0.535483870967742,0,1.0,0,0,0.22666666666666666,0,0,0.158,0.5340909090909091
1.0,0.8963636363636364,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0.04,0,0,0.982,0.4163739669421488
0.46,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0.5091425619834711
1.0,1.0,0,0,0.6906666666666667,1.0,0,1.0,1.0,0,0,0,0,0,0,0,0,0,0.6387096774193548,0.535483870967742,1.0,0,0.6633333333333333,1.0,0,0,0.792,0.5072314049586777
1.0,0,0,1.0,1.0,1.0,0,1.0,1.0,0,0,0,0,0,0,0,0,0.896774193548387,0,0,1.0,0,0,0.6,0,0,0.37,0.5450413223140496
1.0,0.8618181818181818,0.766,0,0,1.0,0,0.264,0,1.0,0,0,0,0,0,0,0,1.0,0,0,1.0,0,0,0.82,0,0,1.0,0.609245867768595
1.0,1.0,1.0,0,0.18933333333333333,1.0,1.0,1.0,1.0,0.8163934426229508,0,0,0,0,0,0,0,0,0.535483870967742,0.7096774193548387,1.0,0,0,0.36,0,0,0.936,0.44886363636363635
1.0,1.0,0,0,0,1.0,0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,1.0,0,0,0.802,0.5995867768595041
1.0,1.0,1.0,0,0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0.5612903225806452,0,0,1.0,0,0,0,0,0,0.984,0.5088842975206611
1.0,0.5418181818181819,0.194,0,0.84,1.0,0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,1.0,0.5632747933884298
1.0,1.0,0,0,0,1.0,0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0.94,0,0,0.792,0.6019628099173554
1.0,0.9309090909090909,0.026,0,0.7866666666666666,1.0,0,1.0,1.0,0,0,0,0,0,0,0,0,1.0,0,0,1.0,0,0,0.97,0,0,0.968,0.5162706611570248
1.0,0,1.0,0,0,1.0,1.0,1.0,1.0,0.7377049180327869,0,0,0,0,0,0,0,1.0,0,0,1.0,0,0,0.88,0,0,1.0,0.47892561983471077
1.0,1.0,0,0,0,1.0,0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0.9733333333333334,0,0,1.0,0.5901859504132232
1.0,1.0,1.0,0,0.008,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0.07096774193548387,0,0,1.0,0,0,1.0,0,0,0.982,0.48522727272727273
1.0,0.34,0.632,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0.8183783783783783,0,0,1.0,0,0,1.0,0.6912706611570248
1.0,0,1.0,1.0,1.0,1.0,1.0,0.36,1.0,0.6295081967213115,0,0,0,0,0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,0.632,0.4439049586776859
1.0,1.0,0.164,0,0,1.0,0.7693333333333333,1.0,1.0,1.0,0,0,0,0,0,0,0,1.0,0,0,1.0,0,0,0.7333333333333333,0,0,0.68,0.5027892561983471
1.0,1.0,0.042,0,0,1.0,0,1.0,1.0,1.0,0,0,0,0,0,0,0,1.0,0,0,1.0,0,0,0.77,0,0,0.84,0.5561466942148761
1.0,1.0,0,0,0,1.0,0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0.07096774193548387,1.0,0,0.7333333333333333,0.7166666666666667,0,0,0,0.6259297520661157
1.0,1.0,1.0,0,0,1.0,1.0,1.0,1.0,0.8918032786885246,0,0,0,0,0,0,0,1.0,0,0,1.0,0,0,0.6,0,0,0.984,0.45516528925619837
1.0,0.509090909090909,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,0.694,0.39648760330578514
1.0,1.0,0,1.0,1.0,1.0,0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0.68,0,0,0,0.5476239669421488
1.0,0,0.962,1.0,1.0,1.0,1.0,0.034666666666666665,0.7625,0,0,0,0,0,0,0,0,1.0,0,0,1.0,0,0,0,0,0,1.0,0.5068181818181818
1.0,1.0,1.0,0,0,1.0,1.0,0.7413333333333333,0,0.5672131147540984,0,0,0,0,0,0,0,1.0,0,0,1.0,0,0,0.8666666666666667,0,0,1.0,0.49700413223140494
1.0,1.0,0,1.0,1.0,1.0,0,1.0,1.0,0,0,0,0,0,0,0,0,0.7096774193548387,0,0,0.8962162162162162,0,0,1.0,0,0,1.0,0.48460743801652895
1.0,1.0,1.0,0,0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0.9483870967741935,0,0,1.0,0,0,0.9466666666666667,0,0,0.766,0.48460743801652895
