cannon_1,cannon_2,archer_1,archer_2,goldstorage_1,goldstorage_2,elixerstorage_1,elixerstorage_2,mortar_1,gold_1,gold_2,gold_3,gold_4,elixer_1,elixer_2,elixer_3,elixer_4,barracks_1,barracks_2,barracks_3,townhall_1,research_1,army_1,army_2,builder_1,builder_2,castle_1,total
1.0,1.0,1.0,0,0,1.0,1.0,1.0,0.81,0,0,0,0,0,0,0,0,0.16774193548387098,0,0,1.0,0,0,0,0,0,0.92,0.5224173553719008
1.0,1.0,0,1.0,1.0,0.5053333333333333,0,1.0,0.905,0,0,0,0,0,0,0,0,0,0.6903225806451613,0.5935483870967742,1.0,0,0.9733333333333334,1.0,0,0,0.212,0.5163223140495867
1.0,1.0,0,0,0,1.0,0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0.8933333333333333,0,0,0.742,0.6059917355371901
1.0,1.0,0,0,0.08,1.0,0,1.0,1.0,0,0,0,0,0,0,0,0,0.535483870967742,0.9483870967741935,0,1.0,0,0,0.7066666666666667,0,0,0.982,0.5694214876033058
1.0,1.0,0,1.0,1.0,1.0,0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,1.0,0,0,0.984,0.4868801652892562
1.0,0.27454545454545454,0.658,1.0,1.0,1.0,0.48,1.0,1.0,0,0,0,0,0.8426229508196721,0,0,0,0,0.14193548387096774,0,1.0,0,0,0.38333333333333336,0,0,0.696,0.45847107438016527
1.0,1.0,0,0,0,1.0,0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0.6903225806451613,1.0,0,0.37,0.9733333333333334,0,0,0,0.6193181818181818
1.0,1.0,0,1.0,1.0,1.0,0,1.0,1.0,0,0,0,0,0.7639344262295082,0,0,0,0.5419354838709678,0.27741935483870966,0,1.0,0,0,0,0,0,0.984,0.48068181818181815
1.0,1.0,0.582,0,0,1.0,0.5053333333333333,1.0,1.0,0,0,0,0,0,0,0,0,1.0,0,0,1.0,0,0,0.97,0,0,1.0,0.5200929752066116
1.0,0.9309090909090909,1.0,0,0,1.0,1.0,0.9786666666666667,0,0.9475409836065574,0,0,0,0,0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,0.912,0.4690082644628099
1.0,1.0,1.0,0,0.7333333333333333,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,1.0,0,1.0,0,0.02,1.0,0,0,0.048,0.4617768595041322
1.0,0,1.0,0,0,1.0,1.0,0.06133333333333333,0.525,1.0,0,0,0,0,0,0,0,1.0,0,0,1.0,0,0,0,0,0,0.91,0.5851239669421487
