cannon_1,cannon_2,archer_1,archer_2,goldstorage_1,goldstorage_2,elixerstorage_1,elixerstorage_2,mortar_1,gold_1,gold_2,gold_3,gold_4,elixer_1,elixer_2,elixer_3,elixer_4,barracks_1,barracks_2,barracks_3,townhall_1,research_1,army_1,army_2,builder_1,builder_2,castle_1,total
1.0,1.0,0.658,1.0,1.0,1.0,0.9173333333333333,1.0,1.0,0.8524590163934426,0,0,0,1.0,0.8950819672131147,0,0,1.0,1.0,0.535483870967742,1.0,0,0.7033333333333334,1.0,0,0,1.0,0.24901859504132232
1.0,1.0,1.0,0,0.744,1.0,1.0,1.0,1.0,1.0,0.08196721311475409,0,0,0,0,0,0,1.0,0.2,0,1.0,0,0,1.0,0,0,1.0,0.37510330578512396
1.0,1.0,1.0,0,0.904,1.0,1.0,1.0,1.0,1.0,0.8950819672131147,0,0,0,0,0,0,1.0,0.8258064516129032,0,1.0,0,1.0,1.0,0,0,1.0,0.29607438016528925
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9737704918032787,0,0,0.12131147540983607,0.8950819672131147,0,0,1.0,0,0,1.0,0,0,1.0,0,0,0.658,0.29018595041322315
1.0,1.0,1.0,0.24,1.0,1.0,1.0,1.0,1.0,1.0,0.6065573770491803,0,0,0,0,0,0,1.0,1.0,0,1.0,0,0.16,1.0,0,0,1.0,0.31477272727272726
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6459016393442623,0.39672131147540984,0,0,1.0,0.5278688524590164,0,0,1.0,1.0,0.9483870967741935,1.0,0,0.8933333333333333,1.0,0,0,1.0,0.2268595041322314
1.0,1.0,0.962,1.0,1.0,1.0,0.84,1.0,1.0,1.0,0,0,0,0.5540983606557377,0,0,0,1.0,1.0,0.535483870967742,1.0,0,0.6766666666666666,1.0,0,0,0.888,0.2913739669421488
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0.07096774193548387,0.6903225806451613,0,1.0,0,0,0.49333333333333335,0,0,1.0,0.3862603305785124
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8688524590163934,0,0,0,0.02622950819672131,0,0,0,1.0,1.0,0,1.0,0,0,1.0,0,0,1.0,0.32252066115702477
1.0,1.0,0.658,0.658,1.0,1.0,1.0,1.0,1.0,0.43934426229508194,1.0,0,0.4098360655737705,0.003278688524590164,0,0,0,0.7677419354838709,1.0,1.0,1.0,0,0.17666666666666667,1.0,0,0,1.0,0.2922520661157025
1.0,1.0,1.0,0.046,1.0,1.0,1.0,1.0,1.0,1.0,0.8688524590163934,0,0,0,0,0,0,1.0,1.0,1.0,1.0,0,0.9733333333333334,0.97,0,0,0.904,0.2761880165289256
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.921311475409836,0.8688524590163934,0,0,0.7049180327868853,0,0,0,1.0,0,0,1.0,0,0,0.97,0,0,0.92,0.29318181818181815
1.0,1.0,1.0,0.202,1.0,1.0,1.0,1.0,1.0,1.0,0.9737704918032787,0,0,0.8852459016393442,0,0,0,1.0,0.896774193548387,0,1.0,0,0,0.9733333333333334,0,0,1.0,0.2837293388429752
1.0,1.0,0,1.0,1.0,1.0,0,1.0,1.0,0,0,0,0,1.0,0.6065573770491803,0,0,0.9483870967741935,1.0,0.8838709677419355,1.0,0,1.0,1.0,0,0,1.0,0.35909090909090907
