barbarian_0_x,barbarian_0_y,barbarian_1_x,barbarian_1_y,barbarian_2_x,barbarian_2_y,barbarian_3_x,barbarian_3_y,barbarian_4_x,barbarian_4_y,barbarian_5_x,barbarian_5_y,barbarian_6_x,barbarian_6_y,barbarian_7_x,barbarian_7_y,barbarian_8_x,barbarian_8_y,barbarian_9_x,barbarian_9_y,barbarian_10_x,barbarian_10_y,barbarian_11_x,barbarian_11_y,barbarian_12_x,barbarian_12_y,archer_0_x,archer_0_y,archer_1_x,archer_1_y,archer_2_x,archer_2_y,archer_3_x,archer_3_y,archer_4_x,archer_4_y,archer_5_x,archer_5_y,archer_6_x,archer_6_y,archer_7_x,archer_7_y,archer_8_x,archer_8_y,archer_9_x,archer_9_y,archer_10_x,archer_10_y,archer_11_x,archer_11_y,archer_12_x,archer_12_y,giant_0_x,giant_0_y,giant_1_x,giant_1_y,giant_2_x,giant_2_y,giant_3_x,giant_3_y,giant_4_x,giant_4_y
26,34,-17,-16,15,38,32,45,-6,17,40,20,-11,-11,41,21,12,-19,1,49,3,31,22,49,-13,23,12,-16,39,40,43,24,49,30,36,-4,-17,40,13,-2,44,36,45,38,8,-6,46,-9,26,34,33,10,37,-19,-9,40,41,46,-1,47,-8,39
-13,34,15,-10,49,29,16,42,26,-18,-12,19,43,23,27,-8,27,-18,45,15,34,42,10,40,40,-10,-7,1,12,36,48,16,36,39,17,44,5,-19,39,16,49,7,0,32,-5,44,48,21,-11,15,44,41,-10,17,-12,30,0,-9,-7,-11,43,0
-12,-18,9,44,-1,44,3,-2,25,48,-14,-13,15,37,46,-19,45,36,-3,49,-3,19,10,-4,-16,5,38,30,-9,25,-8,28,25,-15,-7,23,35,28,-17,-15,-11,48,-14,48,40,21,-12,39,-7,8,-10,18,48,40,45,-8,49,25,-17,2,-18,-10
45,-10,31,41,49,43,9,-13,-17,4,8,-4,-17,2,-14,45,-5,-12,-17,35,44,-10,47,22,11,37,28,-16,48,30,32,28,-17,19,22,44,35,43,7,-16,31,44,43,44,46,-11,-12,28,47,7,47,-3,49,44,46,-16,34,-1,42,4,41,8
44,-8,36,26,41,15,36,37,-19,35,-8,-5,15,38,-4,45,-6,41,15,-18,47,28,19,-16,-8,4,30,-14,-1,-9,23,-15,25,-15,30,-2,0,36,36,4,-6,28,-10,16,6,43,-11,-15,37,-10,-4,37,37,-12,-14,-12,-10,11,20,46,38,7
-3,33,42,49,-9,-15,37,49,35,37,0,47,48,20,41,41,-2,19,25,48,-9,49,16,-7,-5,-18,31,1,48,40,28,43,5,-1,-18,-3,40,11,37,0,-2,42,39,15,24,35,-4,15,11,-2,32,0,-10,-11,49,16,2,36,49,-7,-9,-3
21,-17,17,36,14,38,24,47,-2,30,-2,-18,-4,-12,16,-4,33,29,-12,48,8,36,1,-3,44,8,-7,6,33,-12,-14,-1,45,-15,-18,6,-17,44,-18,-11,-16,15,-6,47,24,34,20,46,46,47,48,11,8,48,-3,38,-11,43,46,36,-17,10
-4,10,13,43,11,43,-19,-10,6,33,45,0,-8,45,-7,-8,37,18,32,48,-8,42,-7,28,49,16,-2,4,11,-9,44,-9,21,36,-2,-12,44,-14,43,31,19,40,-18,-5,-4,33,6,42,37,42,-4,19,40,31,-9,16,-8,35,-1,2,40,16
-7,-6,32,27,-18,45,-6,-8,5,-2,-3,-11,3,38,44,9,36,21,2,33,15,-19,32,38,34,36,-11,39,-11,11,33,-19,41,20,-1,32,36,-19,39,7,34,19,-17,39,27,48,-8,17,30,-9,4,46,-2,39,46,1,-12,35,37,10,49,31
2,33,48,2,34,31,-4,10,35,46,47,34,46,28,39,44,41,8,43,2,12,33,-4,17,31,-16,44,5,22,-7,-4,1,-15,18,26,31,41,24,1,-13,-16,10,33,12,38,34,15,-14,5,-7,-9,-9,-4,-16,6,39,-16,27,1,-6,-2,36
