cannon_1,cannon_2,archer_1,archer_2,army_1,army_2,goldstorage_1,goldstorage_2,elixerstorage_1,elixerstorage_2,barracks_1,barracks_2,barracks_3,mortar_1,builder_1,gold_1,gold_2,gold_3,gold_4,elixer_1,elixer_2,elixerstorage_3,elixer_3,townhall_1,research_1,castle_1,total
1.0,0,1.0,1.0,0,0.2,1.0,1.0,1.0,1.0,0.6709677419354839,0,1.0,1.0,1.0,0.4098360655737705,0,1.0,0,0,0,0.456,0,1.0,0,0,0.3836049382716049
1.0,0,1.0,1.0,0.04,0.88,1.0,1.0,1.0,1.0,0.7419354838709677,0.22580645161290322,1.0,1.0,0.064,0,0,0.5868852459016394,0,0,0.3540983606557377,0,0,1.0,0,0,0.41718518518518516
1.0,0,1.0,0.544,0.44666666666666666,0.76,1.0,0.616,1.0,1.0,0.8258064516129032,0,1.0,1.0,0.928,1.0,0,0,0,0.6557377049180327,0,0.7786666666666666,0,1.0,0,0,0.3606913580246914
1.0,0,1.0,1.0,0.43333333333333335,0.9433333333333334,1.0,1.0,1.0,1.0,0,0.17419354838709677,1.0,1.0,0.784,0,0,0.5278688524590164,0,0,0.11475409836065574,1.0,0,1.0,0.264,0.078,0.3314567901234568
1.0,0,1.0,0.924,1.0,1.0,1.0,1.0,1.0,1.0,0.896774193548387,0.07096774193548387,0,1.0,0,0,0,0,1.0,0.5278688524590164,0.7344262295081967,0,0,1.0,0,0.374,0.3448888888888889
1.0,0,1.0,1.0,0,0.9466666666666667,1.0,1.0,1.0,1.0,1.0,0,0.9419354838709677,1.0,0.928,0.25245901639344265,0,0.23278688524590163,1.0,0.5475409836065573,0.6098360655737705,0.6053333333333333,0,1.0,0,0.82,0.26953086419753086
1.0,0,1.0,0.848,0,0.88,1.0,0.808,1.0,1.0,1.0,0.4838709677419355,1.0,1.0,1.0,0.02622950819672131,0,0,0,0.5868852459016394,0.3475409836065574,0,0,1.0,0,0,0.4162962962962963
1.0,0,1.0,0.354,0.06666666666666667,1.0,1.0,1.0,1.0,1.0,0.0064516129032258064,1.0,1.0,1.0,0.928,1.0,0,0,0,0.24918032786885247,1.0,0.9106666666666666,0,1.0,0,0,0.31066666666666665
1.0,0,1.0,0.696,0.24,0.76,1.0,1.0,1.0,1.0,1.0,0.535483870967742,1.0,1.0,1.0,0.23278688524590163,0,0,0,0,0.5836065573770491,0.3506666666666667,0,1.0,0,0.298,0.3651358024691358
1.0,0,1.0,1.0,0,0,1.0,1.0,1.0,1.0,0,0.4838709677419355,0,1.0,0.64,0,0,0,0,0,0.9114754098360656,0.3626666666666667,0,1.0,0,0.476,0.4105679012345679
1.0,0,1.0,1.0,0,0.7333333333333333,1.0,1.0,1.0,1.0,0,0.8451612903225807,0.1870967741935484,1.0,0,0,0,0.32131147540983607,1.0,0.6819672131147541,0.9704918032786886,1.0,0.9704918032786886,1.0,0.616,1.0,0.20869135802469135
1.0,0,1.0,1.0,0,0.5433333333333333,1.0,1.0,1.0,1.0,0,0,0,1.0,0,0,0,0,0,0,0,1.0,0,1.0,0,0.968,0.3657283950617284
1.0,0,1.0,1.0,0,1.0,1.0,1.0,1.0,1.0,0,1.0,0.5741935483870968,1.0,0,0,0,0.9475409836065574,0,0.7901639344262295,0.5573770491803278,0.47733333333333333,0,1.0,0,0.838,0.30409876543209874
1.0,0,1.0,1.0,0,0.8866666666666667,1.0,1.0,1.0,1.0,0,0.27741935483870966,0,1.0,0,0,0,0,0,0,0.43934426229508194,0.988,0,1.0,1.0,0.694,0.32780246913580247
1.0,0,1.0,0,0.6,0.8533333333333334,1.0,1.0,1.0,1.0,0.9483870967741935,0.5870967741935483,0,1.0,0,0,0,0,0,0.35081967213114756,0.8524590163934426,0,0,1.0,0,0,0.42558024691358026
1.0,0,1.0,0.658,0,1.0,1.0,1.0,1.0,1.0,0.38064516129032255,1.0,0,1.0,0,0,0,0.1901639344262295,0,0.6524590163934426,0,0.5306666666666666,0,1.0,0,0.064,0.39353086419753086
1.0,0,1.0,1.0,0,1.0,1.0,1.0,1.0,1.0,0,1.0,0,1.0,0,0,0,0,0,0,1.0,0.832,0,1.0,0,0.766,0.3291851851851852
1.0,0.4127272727272727,1.0,1.0,0,1.0,1.0,1.0,1.0,1.0,0,0.9483870967741935,0,1.0,0,0,0,0,1.0,0,0.9114754098360656,0.5306666666666666,0,1.0,0.352,1.0,0.2933827160493827
