barbarian_0_x,barbarian_0_y,barbarian_1_x,barbarian_1_y,barbarian_2_x,barbarian_2_y,barbarian_3_x,barbarian_3_y,barbarian_4_x,barbarian_4_y,barbarian_5_x,barbarian_5_y,barbarian_6_x,barbarian_6_y,barbarian_7_x,barbarian_7_y,barbarian_8_x,barbarian_8_y,barbarian_9_x,barbarian_9_y,archer_0_x,archer_0_y,archer_1_x,archer_1_y,archer_2_x,archer_2_y,archer_3_x,archer_3_y,archer_4_x,archer_4_y,archer_5_x,archer_5_y,archer_6_x,archer_6_y,archer_7_x,archer_7_y,archer_8_x,archer_8_y,archer_9_x,archer_9_y,giant_0_x,giant_0_y,giant_1_x,giant_1_y,giant_2_x,giant_2_y
36,19,-15,11,43,46,33,43,31,-7,42,1,-8,-9,26,-15,36,4,46,-10,-6,31,5,38,-17,42,25,36,-12,25,-18,30,-14,-19,34,16,-12,7,38,36,-9,24,-4,40,45,13
-9,4,-6,16,38,4,-6,33,31,-16,-16,41,41,39,0,-11,-3,38,26,35,40,-17,-4,-9,-15,22,-14,-12,-4,11,-18,3,36,-19,28,46,-19,-10,38,10,22,-7,-4,-7,35,32
30,12,-5,-7,32,20,10,-5,0,-10,-16,14,-20,-19,29,41,38,-20,19,-12,-19,35,-18,-1,-16,-13,39,9,-20,-13,44,19,18,31,43,10,24,42,3,-5,-18,22,34,-17,-2,15
41,43,10,36,-13,18,-9,44,47,35,-1,42,-11,31,35,-4,-14,-11,10,38,47,32,27,46,37,-13,-12,-8,35,7,36,10,13,36,-16,37,-3,-15,43,34,19,42,33,40,-6,47
34,39,-1,39,37,12,43,1,33,15,-4,36,23,44,-9,-10,-20,-17,38,36,45,47,17,46,-18,5,33,-2,-8,-19,46,-8,34,-16,35,44,7,-16,-10,14,-6,20,-7,-8,-8,44
45,24,46,7,-16,18,35,-3,39,12,-12,-12,38,-12,-11,29,37,28,38,-9,31,40,-3,-17,21,-14,-20,33,-19,32,32,-11,19,30,-17,-7,-15,-16,46,46,-18,27,-13,-17,-5,3
3,-5,14,32,32,-6,-19,-7,-4,-16,17,43,44,33,-5,36,44,30,44,-11,-15,15,-6,29,-14,41,9,45,-2,33,-1,46,1,44,-12,41,35,38,-13,44,47,17,22,-3,-4,16
25,-17,39,26,-7,-12,-8,41,31,27,-15,36,-10,4,42,31,11,44,23,-2,-9,-7,-2,15,-10,45,-13,15,-2,45,45,35,-14,24,-9,31,36,16,-13,-18,38,36,31,19,40,31
30,-7,37,38,6,40,-9,35,39,-15,5,-14,-14,-3,-11,-13,32,43,-6,16,-14,39,26,42,10,42,41,39,36,31,-8,-9,42,20,-12,47,29,-4,-19,-11,31,-2,35,41,43,-14
32,7,46,-6,30,-9,40,-20,31,4,-8,44,-15,41,15,-11,-18,-17,35,35,18,42,-19,12,0,-18,-16,41,-14,44,-5,26,-12,36,-16,4,41,-11,39,-14,-12,46,31,4,-3,-7
