barbarian_0_x,barbarian_0_y,barbarian_1_x,barbarian_1_y,barbarian_2_x,barbarian_2_y,barbarian_3_x,barbarian_3_y,barbarian_4_x,barbarian_4_y,barbarian_5_x,barbarian_5_y,barbarian_6_x,barbarian_6_y,barbarian_7_x,barbarian_7_y,barbarian_8_x,barbarian_8_y,barbarian_9_x,barbarian_9_y,archer_0_x,archer_0_y,archer_1_x,archer_1_y,archer_2_x,archer_2_y,archer_3_x,archer_3_y,archer_4_x,archer_4_y,archer_5_x,archer_5_y,archer_6_x,archer_6_y,archer_7_x,archer_7_y,archer_8_x,archer_8_y,archer_9_x,archer_9_y,giant_0_x,giant_0_y,giant_1_x,giant_1_y,giant_2_x,giant_2_y
43,-6,35,8,-16,27,-8,27,-19,-17,39,-19,33,-19,-4,21,46,4,17,45,25,-6,1,33,1,32,31,9,-20,40,39,6,0,41,-3,-2,-8,-20,20,-3,34,29,3,37,40,0
-6,38,-13,38,-12,-5,38,-6,4,47,-8,31,8,-15,33,47,23,-4,40,47,41,43,38,42,-7,-17,31,22,-8,6,40,-18,-7,-3,-9,-16,-2,31,-17,19,33,39,41,39,-4,33
41,18,-8,45,44,24,33,23,29,21,43,22,17,37,44,-16,34,-1,33,44,-17,35,34,37,29,39,45,32,-16,-14,32,-13,40,10,-10,7,31,35,-17,34,30,24,14,46,22,-7
17,31,-8,12,47,-10,-13,21,-15,33,37,35,30,-13,-5,-3,45,-6,38,-14,16,-2,-2,47,40,-5,25,-11,6,-10,26,-6,36,-10,35,42,15,-10,-20,47,47,-7,-10,-10,-11,43
-11,-1,31,10,44,20,-5,37,-6,-10,41,23,-16,-8,-11,37,37,25,-12,31,-5,-18,17,-19,45,-15,37,-15,-7,20,-17,5,36,-6,38,33,-5,-2,-12,16,-15,32,45,12,-18,44
-6,6,8,-6,36,46,21,-16,44,40,8,46,-12,-6,-7,28,19,34,16,-19,-5,25,31,4,-1,-20,0,35,-11,11,-12,29,32,16,29,17,34,7,26,46,-19,-10,44,0,46,2
-12,7,37,-13,13,-11,28,30,35,7,-16,-4,19,47,-10,8,26,-3,42,29,17,-7,23,-19,47,10,36,31,38,-3,44,36,-15,-2,30,-12,33,39,19,-17,-12,4,43,8,40,-4
-18,8,-12,41,44,4,41,44,-10,32,-8,8,-17,47,38,-14,1,-15,-19,45,15,34,38,42,46,-2,-2,-3,-16,31,-14,16,35,-15,-9,-7,42,0,-17,2,-6,36,-20,-19,33,-12
-3,-7,-10,33,-9,34,40,30,35,-4,2,-15,29,34,-6,32,-20,36,40,-13,47,-12,-4,43,36,-18,10,40,4,44,-15,-18,24,35,8,35,40,-11,-7,40,-6,35,35,14,45,16
-4,1,45,34,33,42,21,29,-7,-14,-14,28,-18,-1,41,24,3,33,-7,7,-10,-7,-15,-8,-17,34,-17,33,-9,-9,-11,-10,21,39,34,-8,1,-9,36,14,44,42,27,-11,-8,-9
42,22,34,34,31,44,12,30,-20,33,39,41,-2,40,38,25,-14,-10,-8,-14,41,30,-8,24,46,37,38,1,46,38,-14,40,28,-18,40,-2,4,30,-16,-5,-5,38,28,-19,25,30
33,-16,43,22,36,-16,19,39,25,33,-14,39,32,-14,-18,-20,41,5,42,47,38,-2,20,-16,-11,38,16,35,-9,32,46,-3,45,32,-8,-5,32,27,35,-17,-8,-13,-5,-15,-19,25
30,37,42,-4,32,7,39,7,47,40,-15,15,28,-12,24,40,44,35,19,-6,-6,38,-10,-19,7,-3,-15,-5,-14,34,30,-17,-4,13,19,-8,41,46,38,12,-20,-14,15,-15,33,-15
24,43,-10,2,-2,-1,13,44,41,29,32,-11,-5,18,-18,40,34,8,31,38,-4,-11,38,30,30,-8,35,42,43,37,-1,35,30,3,44,-1,-10,42,-14,0,-3,30,43,-11,-15,16
-5,0,-13,20,-20,-14,41,24,13,-2,41,8,-13,-20,41,11,-11,40,33,-8,31,1,43,38,-20,-3,15,-15,30,31,-8,-3,39,30,45,-11,31,33,24,41,-12,12,-8,36,5,-7
3,43,-5,47,14,36,33,9,-9,-16,38,11,29,14,-6,31,-7,11,13,46,28,32,36,31,-2,12,4,29,-16,35,-11,-16,46,-18,-12,-14,34,32,34,-6,-6,39,-8,37,23,-17
15,46,-20,-5,-12,13,30,-18,-5,30,-15,11,31,10,45,-16,29,28,-18,41,-13,43,-8,-10,21,-12,7,45,37,42,3,-16,40,41,21,45,21,-3,30,-8,31,-14,32,29,38,45
10,-7,29,24,29,-11,22,43,2,33,23,-19,15,-10,-6,20,25,-9,41,45,41,-12,27,-3,24,-9,-4,45,-3,31,33,42,5,-12,47,-3,29,41,38,6,-18,-3,31,40,-20,-6
-12,-19,-19,-7,-2,-3,30,-2,-8,32,30,-15,30,-2,-19,-8,-19,46,-15,22,13,-10,34,34,39,-17,6,-2,20,35,22,-11,-10,30,-7,25,-2,33,7,43,-4,-8,39,-18,41,-14
-9,39,31,-5,33,2,-16,-18,14,39,40,14,28,47,22,-19,47,18,11,32,2,-9,-6,32,-3,47,40,20,-1,-4,10,36,42,32,-8,-20,-9,-18,42,12,-10,1,4,-18,14,-10
