barbarian_0_x,barbarian_0_y,barbarian_1_x,barbarian_1_y,barbarian_2_x,barbarian_2_y,barbarian_3_x,barbarian_3_y,barbarian_4_x,barbarian_4_y,barbarian_5_x,barbarian_5_y,barbarian_6_x,barbarian_6_y,barbarian_7_x,barbarian_7_y,barbarian_8_x,barbarian_8_y,barbarian_9_x,barbarian_9_y,archer_0_x,archer_0_y,archer_1_x,archer_1_y,archer_2_x,archer_2_y,archer_3_x,archer_3_y,archer_4_x,archer_4_y,archer_5_x,archer_5_y,archer_6_x,archer_6_y,archer_7_x,archer_7_y,archer_8_x,archer_8_y,archer_9_x,archer_9_y,giant_0_x,giant_0_y,giant_1_x,giant_1_y,giant_2_x,giant_2_y
44,41,-11,-20,34,-6,6,-7,-15,-19,-17,37,-12,44,-7,25,1,-20,-20,-12,32,44,-20,42,-5,-9,43,47,36,45,-5,-4,44,-12,35,27,47,6,9,-7,47,17,23,41,34,-12
-19,30,39,44,43,32,41,-2,19,47,15,-2,31,16,-12,-15,-3,32,4,44,26,33,19,-14,22,-6,-16,6,30,-18,33,13,12,-2,47,-8,-16,32,-7,-19,45,22,-19,-10,-9,39
-5,10,39,35,-5,-4,36,47,34,-19,-11,20,-15,-4,-14,14,19,36,33,41,-17,36,40,-19,41,4,0,-2,-4,-11,-1,29,-3,30,-1,31,20,43,30,-9,18,39,16,-6,15,29
-2,42,-17,-10,-3,-11,-6,43,-13,37,41,33,-10,1,-18,16,26,29,-14,13,-14,0,-10,-12,33,32,-14,40,27,42,45,45,-7,42,-5,36,-2,23,15,29,43,9,35,29,-17,22
42,-11,-15,37,-12,-19,36,-18,37,22,27,-3,7,-2,-13,24,36,16,2,39,16,-6,17,29,-11,35,19,39,39,8,-13,29,-6,20,38,-4,45,37,14,38,31,31,43,35,-20,-12
-14,17,-11,24,-9,16,-17,-19,-8,-16,41,-9,-8,7,34,39,-4,-16,36,31,30,40,-4,15,32,43,9,45,-7,45,-18,-5,1,34,38,28,35,44,44,31,-14,-14,5,32,-12,-3
29,-6,44,35,-14,27,-12,-15,-15,-7,10,38,29,14,1,-2,46,22,3,-11,38,10,-5,-11,-13,35,42,-10,0,41,-12,10,11,30,11,-20,-4,12,-19,-15,16,33,-5,-6,23,-16
47,12,-7,42,41,-12,36,-19,7,-4,45,1,22,44,37,-19,41,-16,-1,-6,47,-6,-3,44,17,-3,35,25,-3,47,9,47,27,-9,-3,-16,31,7,-16,-5,-7,-7,29,33,-4,34
-7,12,-9,-3,-14,37,46,37,47,-2,13,-5,41,-7,-6,29,47,-12,-12,29,-5,6,27,-11,35,36,42,-16,30,37,46,31,39,39,-19,-5,34,34,22,34,41,-1,10,-12,17,44
-18,-9,37,39,9,43,36,-10,29,28,37,14,-3,43,29,-14,-19,2,22,-20,-13,21,35,-11,17,37,25,-13,25,-17,-16,16,14,32,-5,46,19,-4,-20,-1,10,-7,-15,-9,-15,34
-13,-12,20,-3,23,30,44,31,24,-20,-10,12,21,-7,11,-5,-13,-11,7,37,41,-14,-19,14,33,16,4,46,-19,-6,-15,4,2,-17,-13,3,44,27,-19,45,26,33,-9,-8,18,38
-18,33,32,1,-3,-7,20,45,31,45,36,-8,-2,9,47,-5,16,-17,39,6,33,-4,21,34,-3,11,-12,39,-5,41,13,44,35,-4,-2,-14,-17,17,-14,-19,-2,-16,25,-12,7,40
5,-4,46,-10,17,40,-3,42,42,-18,19,-10,41,1,39,10,-12,-11,-20,40,27,-19,29,38,5,-6,-3,-4,-14,-2,29,36,37,-14,-18,-2,34,8,35,9,9,41,-16,-17,-12,-20
-9,-12,-11,9,-12,-8,33,26,-18,34,-8,38,-6,-4,-19,2,-14,-4,41,44,33,41,-19,-20,27,-11,18,-8,43,41,-4,44,33,34,26,-5,42,-13,-8,39,-10,11,13,-13,2,-17
43,-7,34,44,40,35,-1,-6,-9,42,39,-14,-11,-5,-19,32,1,-3,-17,-17,-8,34,-20,8,36,-2,18,-5,-3,-6,-15,40,-4,-15,-2,-11,-14,-5,31,-9,27,-2,38,26,-10,38
-8,35,-18,-4,11,31,-8,-9,-2,33,24,-6,-6,6,37,5,-9,1,26,37,-20,-4,29,27,11,40,-12,-17,44,44,-19,2,43,5,-10,28,34,22,37,37,-17,3,22,-17,23,30
45,-10,46,42,37,42,35,-13,31,-17,-7,11,-18,-10,36,22,31,31,46,11,26,39,-2,-16,38,2,-3,22,-2,23,34,32,40,-12,-19,24,-5,-20,42,17,-19,32,-9,-20,41,-19
33,20,-8,47,-4,33,-9,47,-6,6,-12,46,-7,34,-20,7,42,-8,-10,-16,33,39,46,-9,37,32,-5,35,11,45,-19,44,30,13,8,-11,-11,29,44,42,10,-19,35,-13,-6,38
40,-5,-14,-3,45,-7,33,-6,-17,14,-11,-2,10,-19,-8,-10,23,45,38,12,44,-9,28,-5,40,-19,-17,37,-18,-11,30,-1,41,37,45,-11,26,31,-5,27,18,45,40,-13,-20,7
-3,-11,-17,-3,-5,-8,40,31,25,-2,47,34,37,28,13,-14,46,38,42,-9,15,-20,-7,-20,18,45,15,35,-7,33,-4,35,47,5,-3,-14,46,-7,40,25,34,-8,42,11,36,35
-1,44,-8,1,-12,-20,-14,7,15,40,-4,32,44,-13,32,4,47,39,30,-11,31,2,47,27,23,-11,11,33,2,35,-14,28,-4,34,38,11,5,-14,-19,-18,-11,15,36,33,38,46
45,-18,42,-18,45,-3,28,40,29,-14,28,40,-13,-15,45,2,35,4,-10,-5,41,-11,28,44,41,39,0,30,17,-6,-9,-11,36,40,23,46,39,19,36,46,31,32,44,16,-19,-6
45,-20,-10,34,23,46,1,-3,-5,-19,-2,-9,33,42,36,-2,35,-20,36,45,23,34,-2,16,7,-20,18,-13,37,-10,0,-7,30,10,31,-3,6,-12,-17,43,46,-12,-10,47,-12,24
37,45,37,-2,23,-20,29,-15,37,-11,21,-3,-20,-18,37,40,-3,41,4,-6,29,-20,-20,-9,43,3,22,40,-1,-19,-12,-2,42,25,-6,44,34,25,6,-5,33,7,-7,15,38,-2
42,44,33,-16,41,0,-15,32,-8,-11,35,4,-8,-15,31,8,-19,15,-5,33,-20,-9,31,44,-14,45,41,-5,19,44,38,39,-13,40,47,43,-13,45,-17,42,-18,40,41,37,42,42
28,-9,37,-16,40,-11,47,27,35,28,31,23,41,-4,37,-17,32,36,-5,-19,26,41,34,18,44,-6,29,-15,22,-14,30,41,45,8,12,32,43,6,-18,30,41,23,41,-15,29,34
-18,19,18,29,33,-15,-9,-16,42,-13,10,45,-3,11,-9,7,35,40,8,33,47,25,-20,31,46,40,44,-3,29,-6,-12,11,41,46,-7,33,17,33,-7,27,-10,29,-14,-12,-16,6
