barbarian_0_x,barbarian_0_y,barbarian_1_x,barbarian_1_y,barbarian_2_x,barbarian_2_y,barbarian_3_x,barbarian_3_y,barbarian_4_x,barbarian_4_y,barbarian_5_x,barbarian_5_y,barbarian_6_x,barbarian_6_y,barbarian_7_x,barbarian_7_y,barbarian_8_x,barbarian_8_y,barbarian_9_x,barbarian_9_y,archer_0_x,archer_0_y,archer_1_x,archer_1_y,archer_2_x,archer_2_y,archer_3_x,archer_3_y,archer_4_x,archer_4_y,archer_5_x,archer_5_y,archer_6_x,archer_6_y,archer_7_x,archer_7_y,archer_8_x,archer_8_y,archer_9_x,archer_9_y,giant_0_x,giant_0_y,giant_1_x,giant_1_y,giant_2_x,giant_2_y
-16,-18,-19,45,46,33,39,-2,28,-16,-2,32,30,4,1,-19,-9,8,-14,24,33,47,44,0,-3,-3,30,-10,32,-8,8,-4,17,-5,-4,29,34,47,42,-16,8,-19,46,-16,35,14
-12,-13,18,-8,-3,-4,47,34,43,24,-8,11,-20,-1,22,33,46,15,-6,-14,-10,46,42,36,-14,-8,44,-5,10,35,28,-7,30,-20,-5,-7,18,-2,-13,28,-11,13,-5,40,32,10
8,36,-9,34,47,18,-16,34,-3,-6,-6,38,39,42,-19,-13,7,-16,-12,19,-15,40,-16,-10,-19,39,46,-20,37,19,-16,-2,-20,-13,15,-8,-9,43,1,34,-8,41,-11,-6,-15,-15
30,28,-9,13,-11,29,22,-18,29,40,3,-4,29,17,27,-4,35,38,-16,35,13,46,-18,-1,43,-5,-9,19,35,-6,33,-6,47,15,-18,-19,40,22,2,30,9,46,34,-19,-1,44
38,22,-5,-18,39,-6,-15,-16,-19,-7,43,39,32,5,-14,47,45,37,-2,29,37,-11,-7,31,3,-14,-19,40,-14,8,-9,31,-1,-7,-9,-9,-15,33,13,-4,-13,24,9,44,-9,-8
-1,-6,-16,0,12,-3,38,-7,-3,-19,47,16,46,21,40,-8,-8,29,-2,30,-8,-14,29,3,38,-12,-4,11,29,33,-18,23,34,45,-5,-18,8,-2,-2,31,40,29,-8,-20,40,-2
38,19,-17,18,12,39,38,36,34,-11,42,-2,35,-12,-6,40,34,21,41,2,45,3,-4,21,40,-16,-4,-15,-2,41,21,-17,30,-6,28,-4,-20,-4,30,6,31,19,35,2,30,-8
-6,-10,-3,43,9,-2,-4,4,45,-12,34,42,42,-2,15,-5,-4,-14,35,-12,26,-11,46,11,-3,-10,-3,16,-7,-16,32,-4,-15,-13,-1,30,30,16,-11,-18,-14,-3,-16,-17,26,-10
28,29,33,7,45,7,29,-8,-13,31,38,-10,46,43,36,33,0,-11,21,-12,38,10,-19,45,-17,15,45,41,45,7,45,24,-4,-15,45,-13,44,4,-14,41,-12,28,11,29,37,14
33,41,-8,-10,43,-3,32,-1,40,47,43,40,-10,-1,-5,33,28,34,16,-3,43,38,-16,17,33,30,-2,4,-20,-9,7,-2,-10,-4,37,47,-10,30,-20,36,-11,-17,16,-10,33,46
31,-19,-8,-19,24,-5,-10,43,-2,42,29,-11,47,35,-4,24,-14,38,-14,-19,-18,7,-12,9,33,29,-10,30,45,-14,40,43,40,25,12,-3,43,33,-7,13,4,-7,-4,3,38,-1
