cannon_1,cannon_2,archer_1,goldstorage_1,elixerstorage_1,gold_1,gold_2,elixer_1,elixer_2,barracks_1,barracks_2,townhall_1,army_1,builder_1,builder_2,castle_1,total
0,1.0,0.1475,0.6625,0.835,0,1.0,0,0,0.775,0,1.0,1.0,0.884,1.0,1.0,0.34529262086513995
0.6088888888888889,0.3888888888888889,0.295,1.0,0.3025,0.33555555555555555,1.0,0,0.8777777777777778,0.7107142857142857,0,1.0,1.0,0,0,0.899,0.3534351145038168
0.8288888888888889,0,0.285,0.3,1.0,0,0,0,1.0,0.8821428571428571,0,1.0,1.0,0,0,0,0.5414758269720101
0.6666666666666666,0.12,0.9325,0.8625,1.0,0,0.5644444444444444,0,0,1.0,0,1.0,0.9175,0.912,1.0,1.0,0.3192111959287532
0.7066666666666667,0,0.4225,0.505,0.725,0,0,0,0.78,0.6392857142857142,0,1.0,1.0,0,0,0.592,0.4909669211195929
0.09555555555555556,1.0,0.615,0.955,1.0,0.4533333333333333,1.0,0,0.028888888888888888,0.9214285714285714,0,1.0,1.0,0.048,0,1.0,0.3183206106870229
0,0.37333333333333335,1.0,0,0,0,0,0,0,0,0,1.0,0,0.676,0.856,1.0,0.560941475826972
0.43555555555555553,0.7311111111111112,0,1.0,0.7975,0.76,1.0,0,0,0,0,1.0,1.0,0,0,0.207,0.4729007633587786
0,0,1.0,0,0,0,0,0,0,0,0,0.8826666666666667,0,0.496,0.964,0.532,0.6665394402035624
1.0,0.6577777777777778,0.0375,0,0.4375,0,0,1.0,1.0,1.0,0.45,1.0,0.7675,0.928,0,0.262,0.42201017811704833
0.4622222222222222,1.0,0.1475,0.5725,0,0,0.9755555555555555,0,0,0.725,0,1.0,1.0,0,0,0.73,0.4633587786259542
0,0.057777777777777775,0,1.0,0,0,0,0,0,0,0,0.692,0.78,0,0,0.923,0.656615776081425
0.008888888888888889,0.18,1.0,1.0,1.0,0,0,0,0,1.0,0,1.0,1.0,1.0,0.956,1.0,0.3697201017811705
0.36444444444444446,0.6822222222222222,1.0,0.03,0,0,0.62,0.3888888888888889,1.0,1.0,0,1.0,0.7975,0.928,0.84,1.0,0.32213740458015266
0.11333333333333333,1.0,0,1.0,1.0,0.9755555555555555,0.7,0,0,0,0,1.0,0.505,0,0,0,0.5220101781170483
0.3844444444444444,0.26666666666666666,1.0,0.145,0.1675,0.9755555555555555,1.0,0,0,1.0,0,1.0,0.955,0.224,0.076,0.879,0.38638676844783715
0,0,0.1625,0.7325,0,0,0,0,0,0,0,1.0,0,0,0,0.823,0.6589058524173028
1.0,0,0,0,0,0,0,0,0.7444444444444445,1.0,0,0.844,0.8425,0,0,0,0.660559796437659
0.7311111111111112,0,1.0,0,1.0,0,0,0,0.6355555555555555,1.0,0,1.0,0.6425,0.316,0.824,0.991,0.3984732824427481
0.5111111111111111,0.78,0.2025,0.6175,1.0,0,0.52,0.02,0.4866666666666667,0.33214285714285713,0,1.0,0.0775,0,0,0.417,0.5150127226463105
0.6577777777777778,1.0,0,1.0,0.2575,0.7822222222222223,1.0,0,0.36666666666666664,0,0,1.0,0.73,0,0,1.0,0.3628498727735369
0.3,0.5355555555555556,1.0,0.9175,0.645,0,0.24888888888888888,0,0,1.0,0,1.0,0,0.516,0.464,1.0,0.42264631043256995
0.6088888888888889,0.19333333333333333,0.955,0.4775,1.0,0,0,0,0.82,0.8714285714285714,0,1.0,1.0,0.224,0.204,0.978,0.37251908396946565
1.0,0,0.34,0,0.57,0,0,0,0.8666666666666667,1.0,0,1.0,0,0.82,1.0,0.973,0.438676844783715
1.0,0,0.575,1.0,0.055,0,0,0.9755555555555555,1.0,0.7107142857142857,0,1.0,0.725,0,0.208,1.0,0.3597964376590331
0,0.5355555555555556,0.82,1.0,0.835,0.7155555555555555,0.84,0,0.20666666666666667,1.0,0,1.0,1.0,0.2,0.172,0.989,0.3183206106870229
0.74,0.6333333333333333,0,0.0375,1.0,0.12,1.0,0,0,0,0,0.832,0.9175,0,0,0.329,0.5571246819338422
0.04666666666666667,0.7066666666666667,1.0,0,0.0925,0,0.6,0.15333333333333332,0.5844444444444444,1.0,0,1.0,0.8875,0.636,1.0,1.0,0.3737913486005089
1.0,0,0.3125,0.78,1.0,0,0,0,0.88,1.0,0,1.0,0.9325,1.0,1.0,0.982,0.3234096692111959
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
1.0,0.5133333333333333,0.285,1.0,1.0,0,0,0,1.0,1.0,0,1.0,0.9325,0.712,0,0.906,0.32798982188295167
0.5355555555555556,1.0,0,0.8075,0.955,0.07777777777777778,0.9266666666666666,0.1,1.0,0,0,0.952,0.9175,0,0,0.364,0.4272264631043257
0.6822222222222222,0,0.3125,0,0.685,0,0,0.5844444444444444,1.0,1.0,0,1.0,0.9775,1.0,0,0.613,0.43346055979643766
0.5111111111111111,0.38,0.3125,0.2175,0.955,0,0,0,0.042222222222222223,1.0,0,1.0,1.0,1.0,0.92,1.0,0.40534351145038167
0.08,0,1.0,0.12,0,0,0,0,0,1.0,0,1.0,0.415,0.712,1.0,0.982,0.5114503816793893
