barbarian_0_x,barbarian_0_y,barbarian_1_x,barbarian_1_y,barbarian_2_x,barbarian_2_y,barbarian_3_x,barbarian_3_y,barbarian_4_x,barbarian_4_y,barbarian_5_x,barbarian_5_y,barbarian_6_x,barbarian_6_y,barbarian_7_x,barbarian_7_y,barbarian_8_x,barbarian_8_y,barbarian_9_x,barbarian_9_y,archer_0_x,archer_0_y,archer_1_x,archer_1_y,archer_2_x,archer_2_y,archer_3_x,archer_3_y,archer_4_x,archer_4_y,archer_5_x,archer_5_y,archer_6_x,archer_6_y,archer_7_x,archer_7_y,archer_8_x,archer_8_y,archer_9_x,archer_9_y,giant_0_x,giant_0_y,giant_1_x,giant_1_y,giant_2_x,giant_2_y
5,-1,23,41,-15,37,14,43,-14,37,40,-18,-8,3,35,40,42,-9,-16,22,26,-8,-1,29,-10,-14,41,-7,35,-17,18,-9,37,29,-8,19,35,-13,21,43,3,31,41,41,35,-13
35,9,44,33,40,39,-3,25,37,-8,26,41,10,-8,-4,18,-11,43,5,41,32,22,40,26,21,42,-1,34,-7,33,-5,17,-13,-13,30,-15,32,33,37,-17,41,24,-5,-8,-12,36
43,-13,-5,14,38,-3,36,13,-15,23,47,8,39,39,12,-8,44,6,-9,24,-14,29,23,-8,44,40,-3,-16,31,2,-7,-17,-11,39,13,-18,-6,26,29,-15,38,-10,-17,-18,-4,28
5,40,33,27,-14,-8,25,-8,29,47,10,-9,11,-18,-15,42,-19,34,-1,-6,-17,42,27,46,32,16,-18,18,4,38,37,-7,28,-3,47,-12,44,-16,5,-1,25,-19,39,19,39,-13
-18,38,36,-9,12,-10,-5,44,-11,36,38,47,-4,15,37,2,-3,2,19,29,40,10,34,-11,25,43,32,3,47,30,19,-16,-18,40,-18,31,11,-14,-10,17,45,46,-1,1,-18,20
45,-9,42,-6,-10,27,20,-6,20,34,-12,-4,23,-4,32,-6,37,33,-7,21,46,3,-4,2,-16,-12,35,42,-16,7,0,-14,28,-3,29,25,14,-6,32,14,-4,16,33,-1,31,24
39,29,25,29,-17,44,17,-17,7,-1,-17,32,-18,-2,35,13,8,-18,12,-5,-1,-5,19,-12,37,4,34,30,9,47,21,-7,-19,24,-3,20,29,2,-6,-8,-20,31,-9,34,45,-13
1,38,34,43,47,3,37,-10,-18,41,30,45,3,-1,24,41,31,-9,-2,26,42,-16,-16,-1,43,6,47,-18,-19,0,32,4,-17,-17,-4,-14,20,-2,-17,35,36,14,35,24,14,-10
47,7,11,30,28,-19,47,-12,-20,-3,20,-18,28,-11,-13,39,16,44,34,44,-10,31,41,29,24,43,-16,47,32,10,-11,36,39,-6,-11,14,42,34,-14,5,25,-2,11,43,8,-9
-7,8,41,7,15,31,46,-7,-11,38,35,22,-17,-20,-1,2,-8,18,32,45,40,14,31,20,29,33,45,43,1,45,40,-16,-1,46,-4,-10,42,11,15,-1,14,-2,41,-8,25,-13
-9,-5,26,30,26,30,4,-12,45,-18,-17,37,41,22,-4,7,29,-13,15,-13,10,38,-2,25,-1,-10,-8,-4,-7,-6,44,26,0,40,-10,-16,-1,-20,45,-11,-5,33,14,30,27,42
41,22,-12,23,21,43,-19,-19,-12,47,34,15,31,-9,-6,-5,-16,24,-12,40,1,-3,-7,6,-18,5,-18,31,-3,-14,-11,-13,20,40,30,32,-5,21,37,10,25,40,-17,9,-13,27
9,40,38,21,-9,35,40,15,-10,-11,16,-18,6,42,10,30,12,-16,-14,5,-10,40,39,9,-8,-8,45,-7,39,-18,19,-1,7,46,-9,32,39,43,41,-14,31,4,8,-15,41,38
-2,-18,44,26,7,33,-10,41,21,33,-8,19,-19,41,3,47,-17,6,-2,17,42,15,-15,10,7,33,18,37,37,9,23,-12,-15,38,-2,46,-10,-12,-6,27,-10,40,26,34,-5,2
-16,0,25,47,2,35,24,43,-13,6,-15,-15,44,0,-9,2,35,41,-10,-20,30,4,15,-2,-4,3,11,43,3,38,30,40,25,43,-5,-3,-8,-9,-18,18,-20,-7,-1,39,33,43
36,7,22,29,4,40,34,29,-18,32,33,-2,22,-19,-1,18,-6,8,35,-2,21,-7,-12,-9,3,35,43,12,-18,27,17,-12,27,31,35,9,-2,44,-15,0,37,25,-19,31,14,-1
8,-8,-17,8,-4,5,-18,-4,43,27,0,46,39,19,7,-11,-13,45,40,-19,39,23,27,42,14,-9,-1,15,-18,-17,45,-14,-1,-5,30,44,-9,-9,42,43,1,44,-11,25,10,43
