barbarian_0_x,barbarian_0_y,barbarian_1_x,barbarian_1_y,barbarian_2_x,barbarian_2_y,barbarian_3_x,barbarian_3_y,barbarian_4_x,barbarian_4_y,barbarian_5_x,barbarian_5_y,barbarian_6_x,barbarian_6_y,barbarian_7_x,barbarian_7_y,barbarian_8_x,barbarian_8_y,barbarian_9_x,barbarian_9_y,archer_0_x,archer_0_y,archer_1_x,archer_1_y,archer_2_x,archer_2_y,archer_3_x,archer_3_y,archer_4_x,archer_4_y,archer_5_x,archer_5_y,archer_6_x,archer_6_y,archer_7_x,archer_7_y,archer_8_x,archer_8_y,archer_9_x,archer_9_y,giant_0_x,giant_0_y,giant_1_x,giant_1_y,giant_2_x,giant_2_y
-18,-14,-17,32,38,-19,10,44,23,32,44,39,0,36,39,38,40,-7,-10,-5,31,8,47,-11,-12,-11,-14,-10,37,39,41,-4,46,16,-16,-1,10,-13,45,16,-13,-8,30,-11,37,36
-11,31,16,-19,-2,17,31,24,32,37,-4,47,31,25,-4,27,34,-19,14,39,-17,24,-19,41,29,32,8,44,31,-15,35,0,36,38,33,24,-13,-10,-4,23,29,14,30,38,47,34
33,8,24,-8,-14,23,40,-9,16,-7,-7,-18,-15,-14,32,-6,-11,17,37,40,-1,38,-6,8,32,34,33,0,27,-20,-3,-12,-12,21,30,39,29,-19,-15,2,14,30,-18,14,-13,38
-19,-14,47,37,-6,25,39,44,9,39,42,38,-3,-19,14,-16,39,2,41,21,-17,33,25,46,29,13,-6,3,46,4,-4,47,-3,15,15,-14,-9,34,-6,-16,-5,-10,-10,2,-17,3
42,-20,0,-20,16,30,39,-10,-15,-8,30,38,1,-2,36,27,-7,45,-7,25,-4,13,36,21,8,-16,-3,-11,28,-2,36,-18,34,23,29,-8,36,-10,43,5,-1,30,-20,26,-2,-18
37,47,38,24,-6,27,9,-6,-3,-8,26,-5,-11,34,10,39,16,39,-3,-8,18,38,22,-5,-13,29,36,27,-11,45,-9,32,-17,34,44,36,10,34,35,-14,-9,45,40,-19,43,-1
46,-14,-19,-10,44,37,12,-5,38,33,20,-2,-14,14,-1,35,-13,47,37,35,-13,10,-10,-11,37,-6,13,36,44,41,-5,0,37,40,40,-8,-6,-19,43,-9,-5,29,-17,29,29,41
42,-9,33,33,15,45,30,39,26,-9,-17,2,30,-15,-20,38,-19,33,21,43,12,-18,47,38,-13,-6,32,38,29,31,15,-8,-5,47,33,18,15,-9,12,-19,44,44,-15,-4,0,41
-11,45,45,-10,-20,17,5,40,-19,45,35,-17,-15,28,-8,3,-9,10,-16,28,-9,-5,-2,19,-9,-20,5,37,36,-7,-17,45,39,41,-13,29,5,-16,-7,-15,-19,38,34,-10,47,-5
4,45,-3,-5,46,44,20,-17,-9,30,44,40,35,42,35,32,40,-20,41,29,38,12,40,10,-4,-6,-7,-11,30,-2,-19,37,-19,31,31,26,-17,46,-15,12,18,-6,8,-4,-18,-4
32,43,7,-14,37,8,-17,43,10,41,-8,21,44,38,35,-11,6,29,35,18,40,-17,9,35,41,-11,29,29,-8,-5,14,-10,30,20,-14,-6,46,-5,-19,-6,47,37,-7,47,8,45
10,35,46,40,-8,40,31,13,34,40,34,42,-19,-2,41,31,-19,25,-18,-9,31,22,46,10,-16,39,44,22,17,31,-1,-16,6,-19,-14,27,26,31,6,46,45,-15,35,30,-20,-7
-5,29,-9,-20,15,-11,-5,37,33,31,22,30,41,12,-20,45,20,31,17,39,31,46,-5,-19,0,-4,-5,35,13,-10,-8,-2,-6,-9,-3,19,10,45,31,35,-9,40,-13,5,-9,30
-16,9,24,-3,45,19,-10,43,-15,-20,38,43,-2,-20,-9,-4,31,-14,45,7,38,13,47,-11,-16,37,40,0,30,2,40,26,14,45,35,44,38,40,29,-3,-2,41,42,-13,-11,37
-17,20,-10,-11,47,14,0,40,-19,31,-8,-15,-9,30,-19,-5,-19,4,4,40,1,38,-19,45,28,-18,-6,37,31,33,11,-10,30,-3,22,-19,39,-6,10,-9,8,45,28,-17,47,-20
37,34,-10,32,35,-4,27,-7,33,-7,20,34,-11,-2,29,-11,33,42,-3,2,40,-15,41,41,32,39,-11,-2,16,30,-16,-19,-12,35,-7,38,31,-7,-2,38,27,-20,45,-9,-20,26
39,-12,-18,-13,-10,10,-12,-2,-6,13,43,-11,33,46,-12,20,-15,31,37,19,31,20,-11,45,1,-9,-7,-20,30,39,15,37,15,-14,29,29,39,-14,-4,37,6,41,-10,-11,-8,26
-16,32,-2,39,-17,46,-17,36,-9,-15,29,27,-17,-20,11,38,16,-11,-13,-7,-19,45,32,-19,4,-12,-19,28,37,35,22,36,-12,-1,-20,31,-10,-15,37,41,37,9,43,29,39,25
41,7,39,0,36,4,5,39,-2,-12,6,-2,20,-2,-3,-2,-7,-15,-3,26,32,-15,33,33,-2,39,28,38,28,-20,-17,3,-17,40,38,-11,40,-5,29,-18,-15,15,15,36,37,42
37,30,41,1,-1,-7,-3,17,45,45,-10,-14,-13,9,42,41,-12,-15,10,31,-19,43,-2,32,10,-9,-14,13,-15,-19,-18,-2,-13,46,33,-1,20,41,32,26,-4,20,33,36,34,-16
-9,3,39,18,-19,47,30,38,-3,-17,5,39,34,-4,29,11,46,-15,45,12,18,-14,46,40,-12,32,15,45,-6,-5,28,39,-19,20,-4,35,34,10,-19,-5,38,-14,29,13,-6,35
-5,36,-16,29,35,29,-4,39,-11,-3,-8,-9,10,-15,-17,37,37,-15,0,-19,33,-9,16,-19,41,43,10,44,37,40,39,-18,-8,36,-10,28,30,4,33,-12,-10,38,-14,32,30,-20
2,35,-18,12,47,-8,35,42,45,24,-9,28,7,46,-6,22,47,45,-4,-19,-15,-13,23,32,-3,-3,13,-18,35,8,-5,-4,11,-4,45,-5,-8,20,38,-16,-5,10,-8,-2,-20,15
2,-15,-17,16,11,-8,24,-12,45,33,20,32,32,-2,-18,24,45,-15,-13,34,-15,-19,-17,12,-6,32,25,30,35,45,12,-8,-3,23,47,8,25,35,9,36,36,19,21,32,-13,-14
4,-7,47,27,-9,21,36,41,47,16,-3,-16,-1,-7,31,-14,-13,6,5,-2,45,-3,-11,37,45,-13,36,-10,42,-4,7,30,-1,-13,-18,-2,2,37,-16,22,45,-3,37,42,26,45
-4,11,-4,29,31,16,6,31,14,-20,-11,-9,-9,41,42,43,31,12,40,-2,40,-6,39,-17,-20,-6,45,16,28,-12,26,29,-17,-7,-18,40,21,30,5,45,-3,23,-15,15,38,-6
-10,-11,4,-17,26,42,-5,-20,-10,16,19,30,-10,28,45,3,34,21,15,-9,-15,46,43,-9,18,35,35,2,-8,38,8,-10,30,17,46,7,-17,-20,33,17,-7,33,-2,28,45,45
